,Name,Latitude,Longitude,Altitude,zona_allertamento
IMPER,Imperia - Oss. Meteosismico,43.87957,8.01652,71.0,A
SREMO,Sanremo,43.82265,7.78625,61.0,A
PTECO,Pieve di Teco,44.04952,7.91473,263.0,A
INASV,Savona - Istituto Nautico,44.3062,8.48305,24.0,B
CFUNZ,Genova - Centro Funzionale,44.40035,8.94591,30.0,B
MOPEN,Monte Pennello,44.48017,8.79867,980.0,B
SPZIA,La Spezia,44.10703,9.82819,55.0,C
CHIRI,Chiavari,44.31885,9.32978,50.0,C
VALIG,Varese Ligure,44.38313,9.5842,345.0,C
CAIRM,Cairo Montenotte,44.40234,8.27224,388.0,D
BUSAL,Busalla,44.57129,8.94892,358.0,E
