,Name,Latitude,Longitude,Altitude,zona_allertamento
ALASS,Alassio,44.00624,8.1693,25,A
ALTOM,Alto - Madonna del lago,44.12275,7.99653,1095,A
AMBOR,Amborzasco,44.51447,9.45496,908,E
BARGO,Bargone,44.29506,9.48136,260,C
BELEN,Colle Belenda,43.98152,7.69983,1357,A
BOACM,BOA Capo Mele,43.92167,8.177,0,nan
BONUO,Borgonuovo,43.84601,7.62104,115,A
BRZON,Borzone,44.42429,9.41013,386,C
CAMOG,Camogli,44.34704,9.15931,60,B
CAMPL,Campo Ligure,44.54256,8.6939,338,D
CARPG,Carpe - Case Garoni,44.14441,8.1634,445,A
CAVIP,Cavi di Lavagna,44.29669,9.3735,110,C
CCHER,Cichero,44.42107,9.32194,615,C
CENES,Cenesi,44.07678,8.13421,110,A
CFUNZ,Genova - Centro Funzionale,44.40035,8.94591,30,B
CHIRI,Chiavari,44.31885,9.32978,50,C
CLARI,Castellari,44.14665,8.26235,91,A
CLROS,Colla Rossa,43.83103,7.54322,460,A
CODOG,Colle D'Oggia,43.98131,7.86667,1163,A
CONNA,Conna,43.97923,8.10363,350,A
CRAIN,Cipressa,43.85263,7.92859,285,A
CRCFI,Crocefieschi - Santuario,44.58458,9.01824,762,E
CRNLO,Corniolo,44.10632,9.73483,238,C
CRORE,Crocetta di Orero,44.52014,8.98586,470,B
CSMAM,Castelnuovo Magra - Montecchio,44.10752,10.01077,167,C
CUCCA,Cuccarello,44.34967,9.69908,835,C
DAVAG,Davagna,44.46781,9.09539,467,B
DCAVV,Diano Castello - Varcavello,43.91987,8.06768,56,A
DEGIR,Dego - Girini,44.45176,8.33939,450,D
DOLCE,Dolcedo,43.9059,7.9515,77,A
FABIA,La Spezia - Fabiano,44.09449,9.8097,57,C
FALLA,Fallarosa,44.51715,9.10336,865,E
FERRA,Ferrania,44.36694,8.32248,358,D
FFRES,Fontana Fresca,44.4029,9.09318,791,B
FIORI,Fiorino,44.46494,8.70493,290,B
FRAMU,Framura,44.21359,9.54033,421,C
GEBOL,Genova - Bolzaneto,44.4553,8.89561,47,B
GEPOA,Genova - Porto Antico,44.40816,8.92317,25,B
GEQUE,Genova - Quezzi,44.42367,8.9726,200,B
GIACO,Giacopiane - Lago,44.46112,9.38773,1040,C
GOUTA,Sella di Gouta,43.9396,7.60808,1212,A
IMPER,Imperia - Oss. Meteosismico,43.87957,8.01652,71,A
INASV,Savona - Istituto Nautico,44.3062,8.48305,24,B
ISOVE,Isoverde,44.53013,8.85822,300,B
LAVAG,Lavagnola,44.33492,8.47521,253,B
LEVAN,Levanto,44.17143,9.60677,6,C
LUNIS,Luni - Provasco,44.07491,10.00899,5,C
LVTSG,Levanto - San Gottardo,44.17888,9.6187,85,C
MADGR,Madonna delle Grazie,44.43344,8.74299,104,B
MANIE,Manie,44.19325,8.37883,340,A
MELEE,Mele,44.47419,8.73312,270,B
MIGNA,Mignanego,44.54028,8.93816,270,B
MONTA,Montagna,44.28425,8.37136,253,B
MONTG,Montoggio,44.51561,9.04769,442,E
MOPEN,Monte Pennello,44.48017,8.79867,980,B
MROCC,Monte Rocchetta,44.07129,9.93842,405,C
MSETT,Monte Settepani,44.24398,8.19581,1375,D
MTECA,Monte Cappellino,44.54856,8.95422,620,B
MTMEZ,Monte di Mezzo,44.5598,9.43978,1250,E
MTPOR,Monte Portofino,44.32709,9.16912,610,B
OGNIO,Ognio,44.44372,9.16994,490,C
PFEAR,Poggio Fearza,44.04202,7.79343,1845,A
PNTCA,Pontremoli - La Costa,44.36957,9.89257,340,nan
PORNA,Pornassio,44.06393,7.86644,475,A
PRAIC,Prai,44.51775,8.67306,820,D
PREMA,Premanico,44.41681,9.00911,234,B
PRMLO,Pratomollo,44.47287,9.45876,1520,C
PRTTI,Pian dei Ratti,44.39365,9.27102,70,C
PTECO,Pieve di Teco,44.04952,7.91473,263,A
PTURC,Passo del Turchino,44.48613,8.73602,590,B
PZGLI,Pizzeglio,43.91862,7.69454,655,A
RANZO,Ranzo,44.06542,8.00433,343,A
RAPAL,Rapallo,44.35453,9.20928,40,C
REPPI,Reppia,44.37488,9.45774,530,C
RICCO,Ricco' del Golfo,44.15319,9.76373,150,C
SALBE,Bargagli,44.43845,9.10735,702,B
SCIAR,Sciarborasca,44.40645,8.62464,225,B
SEBOR,Seborga,43.82756,7.6985,550,A
SEGIA,Sella Giassina,44.48758,9.18206,895,C
SEGOD,Sesta Godano,44.29848,9.67751,265,C
SMARG,S. Margherita Ligure,44.3362,9.21045,30,C
SPZIA,La Spezia,44.10703,9.82819,35,C
SPZIW,La Spezia - via Campanella,44.10673,9.82889,5,C
SREMO,Sanremo,43.82265,7.78625,61,A
STBUR,Stella - Burdone,44.4061,8.50244,570,B
STILA,Genova - S.Ilario,44.384,9.06066,174,B
TANOR,Tanadorso,44.61948,8.91803,770,E
TAVRN,Tavarone,44.31274,9.54859,603,C
TOGAR,Torriglia - Garaventa,44.52931,9.17495,1032,E
URVAS,Urbe - Vara Sup.,44.46953,8.62739,810,D
VALIG,Varese Ligure,44.38313,9.5842,345,C
VALZE,Valzemola,44.36959,8.19105,480,D
VBGOR,Valbrevenna - Gorra,44.53176,9.02329,680,E
VERDE,Verdeggia,44.04425,7.72108,1120,A
VICOM,Vicomorasso,44.48555,8.97849,310,B
VIFRA,Villafranca Lunigiana,44.25042,9.96878,156,nan
VIGAN,Viganego,44.42846,9.06348,430,B
VREGI,Valleregia,44.52038,8.94744,407,B
XXMIG,Ventimiglia,43.78777,7.61211,21,A
